customer_id,age,gender,employment_status,annual_income,education_level,credit_history_length,num_previous_loans,num_defaults,avg_payment_delay_days,current_credit_score,loan_amount,loan_term_months,loan_purpose,collateral_present,identity_verified_on_chain,transaction_consistency_score,fraud_alert_flag,on_chain_credit_history,default_flag
CUST00019,44,M,self-employed,56063,Master,19,6,1,9,657,69049,12,Personal,No,1,0.62,0,6,1
CUST00020,64,M,unemployed,38013,Master,8,2,1,8,643,29889,12,Education,No,1,0.32,0,4,0
CUST00021,50,F,employed,50022,High School,16,1,0,13,605,59247,48,Education,Yes,1,0.35,0,2,0
CUST00022,58,M,employed,30406,High School,20,0,1,7,639,51264,48,Education,No,0,0.42,0,3,1
CUST00023,22,F,student,47208,Master,10,9,0,12,655,99656,48,Education,Yes,1,0.49,0,7,0
CUST00024,41,M,employed,32804,Master,15,9,0,9,621,30170,24,Business,No,0,0.61,0,6,0
CUST00025,53,F,student,27786,High School,0,2,1,10,602,94916,60,Crypto-Backed,Yes,1,0.36,0,4,0
CUST00026,32,F,self-employed,43479,Bachelor,15,2,1,12,719,96652,48,Business,Yes,1,0.49,0,6,1
CUST00027,42,F,employed,42696,Diploma,16,2,1,11,537,87547,36,Car Loan,Yes,1,0.37,0,8,0
CUST00028,64,F,employed,53674,Diploma,5,4,0,15,625,35699,12,Personal,No,1,0.96,0,8,0
CUST00029,45,M,self-employed,20731,Bachelor,21,4,1,4,686,43529,60,Mortgage,No,1,0.4,1,7,0
CUST00030,69,M,employed,53906,Master,10,5,0,7,688,45946,48,Mortgage,Yes,0,0.4,0,5,0
CUST00031,47,F,employed,41948,Diploma,6,3,0,12,699,48168,60,Personal,Yes,1,0.41,0,3,0
CUST00032,62,M,unemployed,56019,Bachelor,15,2,2,10,683,75355,48,Personal,No,1,0.48,0,3,1
CUST00033,48,M,self-employed,55864,Bachelor,24,3,0,10,637,70003,12,Crypto-Backed,No,0,0.62,1,4,0
CUST00034,36,M,employed,5000,Bachelor,21,1,1,17,567,74319,12,Business,No,1,0.48,0,5,0
CUST00035,35,F,employed,55729,Bachelor,1,1,2,8,656,45986,36,Education,No,1,0.37,0,2,1
CUST00036,67,M,student,56396,High School,19,2,1,9,654,43847,24,Crypto-Backed,Yes,0,0.63,1,5,1
CUST00037,64,M,self-employed,21125,High School,12,1,2,8,679,72078,36,Car Loan,No,1,0.48,0,9,1
CUST00038,23,F,self-employed,16571,Bachelor,12,1,2,8,606,37084,24,Personal,Yes,0,0.89,1,7,0
CUST00039,57,M,retired,51620,Bachelor,14,5,0,17,636,80907,48,Education,Yes,1,0.92,0,7,0
CUST00040,27,F,employed,41704,High School,14,5,0,13,621,40524,24,Personal,Yes,1,0.4,0,8,0
CUST00041,41,F,employed,30363,Bachelor,8,2,0,6,580,77964,12,Personal,Yes,1,0.31,0,2,0
CUST00042,29,F,unemployed,61581,Bachelor,17,4,0,10,691,8712,24,Personal,No,1,0.75,0,3,0
CUST00043,59,M,unemployed,44538,Bachelor,13,3,1,10,668,41026,24,Education,No,1,0.46,0,4,1
CUST00044,38,M,employed,8711,Bachelor,22,5,0,9,736,38291,36,Business,Yes,0,0.76,0,7,0
CUST00045,24,F,employed,24736,Bachelor,13,1,0,8,805,21502,48,Personal,No,0,0.83,0,5,0
CUST00046,45,F,unemployed,55635,High School,3,1,1,10,630,84636,24,Crypto-Backed,Yes,1,0.71,0,4,0
CUST00047,34,F,employed,40536,Bachelor,13,4,0,9,699,79205,48,Personal,Yes,0,0.85,0,4,0
CUST00048,29,F,student,29203,High School,9,2,0,9,671,42440,48,Car Loan,Yes,1,0.6,0,7,0
CUST00049,46,F,employed,46787,Bachelor,10,5,1,16,631,9008,24,Crypto-Backed,Yes,0,0.62,0,9,0
CUST00050,22,F,employed,30884,Bachelor,21,4,1,7,647,22273,48,Car Loan,No,1,0.42,0,2,1
CUST00051,40,M,employed,21293,High School,0,2,0,18,619,37662,60,Mortgage,Yes,1,0.84,0,2,0
CUST00052,48,F,unemployed,55250,High School,13,5,1,10,632,63272,12,Crypto-Backed,Yes,0,0.53,0,2,0
CUST00053,67,F,student,57512,High School,7,3,0,9,633,54615,36,Crypto-Backed,Yes,1,0.96,0,6,0
CUST00054,27,F,self-employed,47217,Bachelor,5,1,0,8,665,47833,12,Education,Yes,1,0.87,0,8,0
CUST00055,64,M,student,16980,High School,10,2,0,6,582,15426,36,Mortgage,No,0,0.66,0,3,0
CUST00056,28,M,employed,67752,Diploma,13,2,0,12,623,94503,24,Crypto-Backed,No,1,0.32,0,6,0
CUST00057,67,M,employed,67240,Bachelor,6,0,0,13,551,85201,48,Business,Yes,1,0.83,0,7,0
CUST00058,55,M,unemployed,59095,High School,21,2,0,7,655,59325,36,Crypto-Backed,Yes,1,0.46,0,6,0
CUST00059,34,F,student,44556,Diploma,6,1,1,13,646,56441,24,Education,No,0,0.61,0,5,0
CUST00060,37,M,unemployed,41366,Master,20,0,0,11,761,76960,24,Car Loan,Yes,0,0.98,0,2,0
CUST00061,56,F,unemployed,46559,Master,18,2,0,14,694,12029,36,Personal,No,1,0.79,0,3,0
CUST00062,60,F,employed,22876,Diploma,21,6,0,8,649,44339,24,Crypto-Backed,Yes,1,0.95,0,7,0
CUST00063,24,F,employed,31825,Bachelor,9,1,0,14,578,57048,36,Personal,No,1,0.92,0,5,0
CUST00064,22,F,student,31206,Bachelor,24,4,1,11,542,22763,48,Business,Yes,1,0.84,0,3,1
CUST00065,26,F,employed,49107,Master,21,7,2,9,528,11757,48,Car Loan,No,1,0.46,0,7,0
CUST00066,62,F,employed,43705,Bachelor,8,3,0,19,720,59881,12,Business,No,1,0.86,0,4,0
CUST00067,24,M,self-employed,25625,Bachelor,17,3,2,13,662,49521,60,Education,No,1,0.37,0,3,0
CUST00068,49,M,employed,16111,Master,16,6,0,13,738,46654,60,Education,No,0,0.35,0,2,0
CUST00069,38,M,unemployed,45334,High School,12,6,1,7,756,2321,24,Business,Yes,0,0.62,1,8,1
CUST00070,46,M,employed,24051,Bachelor,3,4,1,12,649,55098,36,Education,No,0,0.99,0,7,0
CUST00071,64,M,unemployed,21171,Diploma,20,3,0,13,708,30655,12,Crypto-Backed,No,1,0.62,0,5,0
CUST00072,54,F,self-employed,71447,Master,6,5,0,8,733,25525,24,Education,Yes,1,0.5,0,5,0
CUST00073,30,M,self-employed,74645,PhD,7,2,0,12,617,35728,48,Personal,Yes,1,0.42,0,5,0
CUST00074,56,M,employed,33264,High School,15,1,1,8,688,6554,60,Car Loan,No,1,0.43,0,9,0
CUST00075,34,M,employed,12648,Diploma,11,2,2,15,796,80705,48,Car Loan,Yes,1,0.98,0,1,1
CUST00076,51,F,employed,58162,Diploma,0,3,0,7,504,56125,24,Education,No,1,0.69,0,6,0
CUST00077,68,F,employed,45041,High School,5,3,1,10,569,37630,24,Mortgage,No,1,0.5,0,4,1
CUST00078,35,F,self-employed,51550,Bachelor,0,4,0,8,649,87336,24,Business,No,1,0.57,0,8,0
CUST00079,28,M,employed,30478,Bachelor,7,1,1,18,642,70023,12,Business,Yes,1,0.87,0,8,0
CUST00080,34,M,employed,24425,Bachelor,11,5,1,9,435,35615,12,Education,Yes,0,0.49,0,3,0
CUST00081,43,M,employed,36408,Bachelor,15,0,1,11,624,78858,36,Crypto-Backed,No,0,0.84,0,3,0
CUST00082,60,M,self-employed,42614,High School,0,2,1,12,579,99059,36,Business,Yes,1,0.53,0,6,1
CUST00083,41,M,employed,29028,Bachelor,3,4,1,7,735,3211,60,Business,No,1,0.68,0,6,0
CUST00084,36,F,student,59449,Master,18,4,0,8,723,49965,24,Personal,Yes,0,0.89,0,3,0
CUST00085,65,M,self-employed,13938,Bachelor,17,1,2,7,676,16783,48,Crypto-Backed,Yes,1,0.56,0,5,1
CUST00086,38,F,unemployed,46138,High School,7,3,0,11,750,61588,24,Education,No,1,0.5,0,5,0
CUST00087,67,M,unemployed,41893,High School,5,3,0,11,734,55103,12,Crypto-Backed,No,1,0.55,0,1,0
CUST00088,44,F,employed,58282,Diploma,12,5,0,10,792,80804,24,Mortgage,Yes,1,0.91,0,1,0
CUST00089,46,F,unemployed,25610,Bachelor,19,0,0,12,692,26578,24,Education,Yes,1,0.86,0,6,0
CUST00090,45,F,self-employed,50587,Diploma,2,5,0,9,663,72002,24,Crypto-Backed,Yes,1,0.31,0,3,0
CUST00091,65,F,student,47156,Master,14,5,1,8,705,22954,24,Car Loan,Yes,1,0.39,0,7,0
CUST00092,61,M,student,43662,Master,5,5,0,16,580,47261,36,Education,Yes,1,0.99,0,5,0
CUST00093,49,M,employed,26701,Bachelor,5,2,1,7,691,32351,36,Crypto-Backed,No,1,0.56,1,1,1
CUST00094,35,M,employed,28403,Diploma,4,6,0,10,606,6399,60,Car Loan,No,1,0.43,0,7,0
CUST00095,65,F,self-employed,35555,Bachelor,18,2,1,17,696,7495,60,Car Loan,No,1,0.55,1,11,1
CUST00096,21,M,self-employed,32460,Master,9,4,0,10,617,71773,36,Mortgage,Yes,1,0.96,0,2,0
CUST00097,45,M,employed,58901,High School,8,0,1,9,493,99167,12,Education,No,1,0.85,0,4,1
CUST00098,27,M,employed,42033,PhD,13,1,0,9,735,52144,60,Mortgage,Yes,0,0.33,0,2,0
CUST00099,29,M,employed,51921,Bachelor,21,3,1,8,595,7472,12,Mortgage,No,1,0.53,0,7,0
CUST00100,44,F,self-employed,18232,Diploma,4,0,0,13,570,76587,24,Business,Yes,0,0.72,0,5,0
CUST00101,21,F,retired,12370,Bachelor,6,5,0,5,701,42637,24,Personal,No,1,0.38,0,8,1
CUST00102,64,M,unemployed,37332,Diploma,16,8,0,13,682,5387,36,Mortgage,No,1,0.38,0,6,0
CUST00103,28,M,employed,20826,Diploma,22,4,0,8,735,48362,24,Education,No,1,0.77,0,3,0
CUST00104,44,M,employed,40598,Bachelor,16,3,0,10,662,10180,36,Car Loan,No,1,0.63,0,4,0
CUST00105,31,F,employed,27353,High School,8,3,0,15,654,85614,60,Mortgage,No,1,0.84,0,4,0
CUST00106,37,F,employed,44592,High School,21,2,1,5,624,78864,24,Crypto-Backed,Yes,0,0.61,0,3,1
CUST00107,28,F,unemployed,28257,High School,22,2,1,11,643,11822,48,Crypto-Backed,No,1,0.42,0,3,0
CUST00108,55,M,employed,48415,Diploma,6,8,1,8,654,39403,60,Car Loan,No,1,0.43,0,7,1
CUST00109,55,F,self-employed,26785,Diploma,0,3,1,9,595,90496,12,Personal,Yes,0,0.72,1,6,1
CUST00110,53,F,student,12035,Bachelor,1,0,0,9,631,88756,48,Crypto-Backed,Yes,1,0.59,0,5,0
CUST00111,25,F,student,52790,Diploma,9,4,0,11,649,24733,48,Education,No,1,0.33,0,2,0
CUST00112,62,F,employed,28469,High School,18,4,1,7,610,3392,36,Personal,Yes,1,0.92,0,6,0
CUST00113,59,F,employed,60587,High School,7,1,0,8,690,97730,36,Crypto-Backed,No,1,0.71,0,3,0
CUST00114,61,M,employed,30377,High School,8,1,0,16,665,19842,12,Mortgage,No,1,0.83,1,3,0
CUST00115,48,M,self-employed,27660,High School,14,2,1,10,573,26153,12,Crypto-Backed,Yes,1,0.61,0,3,0
CUST00116,27,M,retired,35739,Master,10,3,0,4,588,91445,60,Education,Yes,1,0.63,0,6,0
CUST00117,29,M,employed,31594,Bachelor,23,3,2,12,686,30480,36,Car Loan,Yes,1,0.33,0,6,1
CUST00118,28,F,employed,41892,PhD,11,5,1,10,660,93790,36,Personal,No,1,0.57,0,4,1
CUST00119,32,M,student,46038,High School,21,3,2,11,638,86089,24,Crypto-Backed,Yes,1,0.41,0,2,0
CUST00120,54,M,unemployed,48314,Master,17,1,1,12,640,56394,60,Business,Yes,1,0.52,0,4,0
CUST00121,53,M,retired,38714,Bachelor,1,4,1,11,751,12845,36,Business,Yes,1,0.92,0,1,0
CUST00122,68,F,employed,17488,Bachelor,14,4,2,11,626,68372,36,Car Loan,No,1,0.43,0,7,0
CUST00123,43,M,employed,65851,Diploma,9,6,0,13,754,9025,12,Crypto-Backed,No,1,0.97,0,4,0
CUST00124,44,F,employed,34460,Diploma,6,6,1,10,562,48478,60,Education,No,0,0.87,0,5,1
CUST00125,57,F,employed,33677,Master,8,6,2,11,663,68369,48,Mortgage,Yes,1,0.65,0,4,0
CUST00126,55,F,self-employed,38666,Bachelor,21,6,0,11,750,80892,12,Personal,No,1,0.98,0,4,0
CUST00127,64,M,employed,36080,Bachelor,16,2,0,15,607,48635,60,Personal,No,1,0.78,0,7,0
CUST00128,60,F,employed,13764,High School,13,3,1,8,603,12325,24,Car Loan,Yes,0,0.44,0,3,1
CUST00129,42,M,student,48624,High School,8,7,0,11,582,47525,48,Crypto-Backed,No,0,0.35,0,4,0
CUST00130,47,M,employed,27693,PhD,6,1,0,7,612,92588,12,Personal,Yes,1,0.83,0,12,0
CUST00131,55,M,unemployed,35142,Bachelor,14,4,0,9,708,2980,36,Crypto-Backed,Yes,1,0.88,1,7,0
CUST00132,21,F,employed,66390,Bachelor,2,6,0,9,610,30216,60,Crypto-Backed,Yes,1,0.63,0,3,0
CUST00133,55,F,unemployed,54167,Diploma,1,1,0,10,765,47488,36,Mortgage,No,0,0.49,0,6,0
CUST00134,57,M,employed,64182,Bachelor,2,3,0,8,707,68220,12,Education,Yes,1,0.33,0,7,1
CUST00135,67,F,unemployed,29844,High School,1,2,1,5,714,19978,12,Car Loan,No,0,0.72,0,6,0
CUST00136,34,F,employed,50950,High School,12,3,1,6,678,91793,12,Business,Yes,1,0.54,0,2,0
CUST00137,23,F,employed,46048,Bachelor,12,4,0,10,586,55975,60,Business,Yes,1,0.61,0,3,1
CUST00138,21,M,unemployed,39180,Bachelor,1,3,0,6,667,14129,60,Education,No,1,0.53,0,6,0
CUST00139,25,F,employed,28741,Diploma,19,1,1,12,730,82325,36,Mortgage,No,1,0.62,0,2,1
CUST00140,46,F,employed,56269,Bachelor,21,3,0,14,708,44920,12,Mortgage,Yes,0,0.52,0,4,0
CUST00141,34,M,student,32288,Bachelor,18,0,2,11,600,16907,60,Crypto-Backed,No,1,0.89,0,6,1
CUST00142,59,F,student,42044,Master,8,2,0,13,628,29968,48,Personal,Yes,1,0.8,0,5,0
CUST00143,47,M,employed,53696,High School,4,5,0,8,544,23941,60,Business,No,1,0.78,0,3,1
CUST00144,29,F,employed,25349,High School,20,3,0,10,619,75905,48,Car Loan,Yes,1,0.71,0,7,0
CUST00145,35,F,employed,23670,Master,6,0,0,11,618,39916,24,Car Loan,Yes,1,0.86,0,3,0
CUST00146,35,F,employed,77741,Bachelor,24,1,0,8,656,49267,48,Personal,No,0,0.44,0,1,0
CUST00147,46,F,retired,27099,Bachelor,12,3,0,14,656,48072,24,Business,Yes,1,0.85,0,4,0
CUST00148,62,F,self-employed,64251,High School,0,6,0,4,608,43454,12,Business,Yes,0,0.32,0,3,0
CUST00149,33,F,employed,39204,Master,8,2,0,6,624,25730,36,Car Loan,Yes,1,0.68,0,3,0
CUST00150,52,M,retired,33611,Bachelor,1,0,1,8,584,31734,12,Crypto-Backed,No,1,0.86,0,3,1
CUST00151,59,F,self-employed,35100,Bachelor,2,2,1,7,544,52280,60,Business,Yes,1,0.76,0,7,1
CUST00152,69,F,self-employed,39066,Master,11,4,0,10,555,38219,24,Crypto-Backed,Yes,0,0.7,0,4,0
CUST00153,52,F,employed,60068,Bachelor,4,2,2,8,508,77107,24,Mortgage,No,1,0.32,0,5,1
CUST00154,24,M,employed,51341,Diploma,11,6,0,15,774,10261,24,Mortgage,No,0,0.43,0,6,0
CUST00155,50,M,self-employed,36825,Bachelor,3,9,0,15,598,37272,36,Crypto-Backed,Yes,1,0.46,0,6,0
CUST00156,57,M,employed,12012,Bachelor,20,4,0,6,715,3795,24,Business,No,1,0.83,0,8,0
CUST00157,43,F,employed,40309,Bachelor,20,3,0,10,662,91747,12,Crypto-Backed,Yes,1,0.94,0,2,0
CUST00158,59,F,employed,41992,Bachelor,11,3,1,11,568,47624,12,Mortgage,Yes,1,0.4,0,2,1
CUST00159,65,M,employed,58877,High School,4,6,0,10,496,56405,24,Personal,No,0,0.34,0,5,0
CUST00160,35,M,self-employed,17948,Master,13,3,1,15,618,92913,36,Car Loan,No,1,0.8,0,4,0
CUST00161,63,M,self-employed,32597,Bachelor,13,2,0,7,702,68033,24,Crypto-Backed,Yes,1,0.53,0,6,0
CUST00162,49,F,employed,32123,High School,9,0,0,10,634,92269,60,Personal,No,1,0.52,0,5,0
CUST00163,56,M,employed,39161,Bachelor,9,4,2,9,608,52812,24,Crypto-Backed,Yes,1,0.76,0,5,0
CUST00164,33,F,self-employed,41365,PhD,4,1,0,7,690,75090,36,Crypto-Backed,Yes,0,0.86,0,9,0
CUST00165,52,F,employed,46576,Diploma,17,0,1,6,760,92379,48,Education,Yes,0,0.5,0,3,1
CUST00166,27,F,self-employed,11577,High School,16,4,0,8,625,59000,12,Education,No,1,0.99,0,3,0
CUST00167,42,M,unemployed,42594,High School,9,1,2,16,702,67808,60,Mortgage,Yes,1,0.85,0,0,1
CUST00168,48,F,employed,43684,High School,10,3,2,14,652,60868,12,Business,Yes,1,0.35,0,2,0
CUST00169,22,M,unemployed,41127,High School,14,1,1,12,598,91551,36,Crypto-Backed,Yes,1,0.78,0,2,1
CUST00170,62,M,unemployed,37335,Master,23,2,1,4,680,74642,36,Crypto-Backed,No,0,0.93,0,6,0
CUST00171,65,M,employed,5000,High School,18,2,1,10,723,3970,60,Personal,No,1,0.34,0,4,0
CUST00172,26,M,employed,48522,Master,11,4,1,9,629,18606,48,Car Loan,No,1,0.68,0,8,0
CUST00173,48,F,retired,25401,High School,15,2,1,11,667,65471,48,Mortgage,Yes,1,0.66,0,2,1
CUST00174,48,F,employed,49205,Master,22,3,1,9,472,71748,60,Mortgage,No,1,0.82,0,4,0
CUST00175,64,F,unemployed,58752,Diploma,23,6,1,7,637,5615,48,Business,Yes,1,0.6,1,6,1
CUST00176,64,F,self-employed,14858,Bachelor,11,3,2,11,627,68557,48,Mortgage,Yes,1,0.47,0,13,0
CUST00177,40,M,employed,48748,High School,21,1,1,13,595,86063,36,Mortgage,Yes,1,0.53,0,10,1
CUST00178,50,M,employed,21466,Diploma,21,2,2,8,714,12791,12,Personal,Yes,1,0.32,0,6,0
CUST00179,31,M,employed,39364,High School,18,3,0,9,525,80619,24,Mortgage,Yes,1,0.93,1,3,1
CUST00180,48,M,employed,38110,Bachelor,24,3,2,8,581,81883,48,Mortgage,Yes,1,0.99,0,4,1
CUST00181,45,F,self-employed,51346,Diploma,2,2,0,7,681,65919,48,Mortgage,Yes,1,0.62,0,2,0
CUST00182,59,M,student,49118,Master,12,3,0,14,738,16013,48,Business,Yes,1,0.9,0,7,0
CUST00183,53,F,unemployed,43931,High School,20,7,0,11,674,21801,48,Personal,Yes,0,0.93,0,4,0
CUST00184,21,M,employed,15349,Diploma,21,2,0,10,631,95150,36,Crypto-Backed,No,0,0.7,1,4,0
CUST00185,47,M,student,5000,High School,14,3,1,12,647,88810,24,Personal,Yes,1,0.51,0,3,0
CUST00186,33,M,unemployed,53684,Bachelor,16,6,0,15,637,94842,36,Personal,Yes,0,0.75,0,2,0
CUST00187,61,M,student,51197,High School,10,7,0,13,636,61424,36,Mortgage,No,1,0.83,0,3,0
CUST00188,23,F,employed,25037,High School,24,0,1,9,749,45192,36,Personal,Yes,1,0.84,1,6,1
CUST00189,59,F,unemployed,45210,Bachelor,22,5,0,11,679,92292,48,Car Loan,Yes,0,0.65,0,6,0
CUST00190,26,F,self-employed,36860,High School,11,5,0,12,634,36485,48,Education,No,1,0.79,0,6,0
CUST00191,28,F,employed,56297,Bachelor,16,4,0,14,684,57754,24,Business,Yes,1,0.89,0,3,0
CUST00192,47,M,retired,41253,High School,21,4,0,5,789,44103,36,Education,Yes,1,0.86,0,4,0
CUST00193,29,M,employed,53505,Bachelor,22,1,0,12,560,31581,24,Education,No,1,0.46,0,2,0
CUST00194,57,F,employed,30796,PhD,4,0,1,10,558,73082,24,Crypto-Backed,Yes,1,0.68,0,4,1
CUST00195,53,F,student,44275,High School,4,4,0,12,577,79403,24,Car Loan,Yes,1,0.59,1,5,1
CUST00196,62,M,employed,33809,Diploma,6,2,0,7,580,96700,48,Personal,Yes,1,0.43,0,3,0
CUST00197,64,M,student,30723,Master,2,6,0,14,676,52858,36,Crypto-Backed,No,1,0.63,0,4,0
CUST00198,44,F,unemployed,5051,Bachelor,2,5,1,8,582,15462,48,Crypto-Backed,No,0,0.41,0,12,1
CUST00199,35,F,employed,53852,Bachelor,16,2,0,11,617,21926,36,Car Loan,No,1,0.47,0,8,0
CUST00200,52,F,employed,66245,Bachelor,23,6,0,8,522,66822,36,Crypto-Backed,No,1,0.48,0,4,0
CUST00201,52,M,unemployed,19180,Diploma,1,0,1,12,793,65234,36,Mortgage,Yes,1,0.64,0,10,1
CUST00202,44,F,self-employed,50403,Master,14,3,0,7,630,26211,12,Education,Yes,1,0.39,0,3,0
CUST00203,61,F,student,49778,Bachelor,18,3,2,9,729,81395,12,Mortgage,Yes,1,0.78,0,2,0
CUST00204,69,F,student,32281,Bachelor,22,7,0,20,636,74538,24,Mortgage,No,1,0.92,0,8,0
CUST00205,69,F,employed,28937,Master,9,5,1,10,701,25703,48,Education,Yes,0,0.75,0,7,0
CUST00206,32,F,employed,57707,Bachelor,10,1,0,8,653,7186,48,Business,Yes,0,0.61,0,7,0
CUST00207,59,M,student,56126,Bachelor,23,5,1,9,704,36068,24,Personal,Yes,0,0.83,0,3,0
CUST00208,22,F,self-employed,46772,PhD,8,4,0,12,726,87834,24,Business,Yes,1,0.41,0,6,0
CUST00209,23,M,employed,32200,High School,13,2,0,7,530,15832,24,Mortgage,Yes,0,0.92,0,6,1
CUST00210,69,F,unemployed,56341,High School,23,5,1,10,600,24205,48,Crypto-Backed,Yes,1,0.59,0,4,0
CUST00211,57,F,student,27451,High School,6,3,0,14,673,61037,60,Education,Yes,1,0.85,1,6,0
CUST00212,69,F,self-employed,61309,PhD,9,2,0,10,741,12272,24,Mortgage,Yes,0,0.6,0,6,0
CUST00213,37,M,employed,64483,Bachelor,0,4,2,10,641,52767,36,Education,Yes,0,0.39,0,5,1
CUST00214,69,M,self-employed,57722,Diploma,0,7,0,10,594,68617,24,Car Loan,Yes,0,0.65,0,3,0
CUST00215,22,M,unemployed,45142,High School,13,3,0,10,651,42112,48,Education,Yes,1,0.96,0,8,0
CUST00216,22,F,student,5000,High School,7,1,0,9,665,21379,36,Personal,No,1,0.72,0,4,0
CUST00217,48,F,retired,37228,High School,13,2,2,7,635,33456,60,Business,No,1,0.91,0,8,0
CUST00218,43,M,self-employed,66473,Master,6,3,1,13,743,66915,60,Crypto-Backed,Yes,1,0.43,0,2,1
CUST00219,57,M,unemployed,54055,Bachelor,17,4,1,11,580,92473,48,Education,No,1,0.5,0,1,1
CUST00220,52,F,retired,46529,Master,24,7,0,9,681,77059,24,Education,No,1,0.79,0,5,0
CUST00221,53,M,employed,29787,Diploma,22,2,0,11,573,94195,36,Personal,Yes,1,0.86,0,7,1
CUST00222,21,F,employed,55366,Bachelor,8,4,1,9,600,66749,36,Crypto-Backed,Yes,1,0.47,0,5,0
CUST00223,39,M,student,16405,Bachelor,14,5,0,11,598,38247,36,Car Loan,Yes,1,0.54,0,2,1
CUST00224,22,M,employed,37437,Master,0,0,0,11,613,39697,36,Car Loan,Yes,1,0.46,0,2,0
CUST00225,64,M,employed,66098,PhD,10,4,2,8,696,87552,48,Personal,Yes,1,0.36,0,2,0
CUST00226,46,F,employed,27934,Master,18,5,2,12,578,15241,36,Personal,Yes,1,0.36,0,3,1
CUST00227,52,F,employed,49137,Bachelor,9,5,0,13,709,51857,60,Mortgage,Yes,1,0.9,1,3,0
CUST00228,26,M,employed,13643,High School,17,4,1,12,629,67780,12,Mortgage,Yes,1,0.65,0,3,0
CUST00229,52,F,employed,30216,Bachelor,21,2,0,9,696,97049,36,Car Loan,Yes,1,0.41,0,4,0
CUST00230,24,F,retired,42691,High School,3,4,2,12,634,43175,36,Business,Yes,0,0.84,0,2,0
CUST00231,31,F,unemployed,45304,High School,17,1,1,9,698,17008,24,Education,No,0,0.41,0,2,0
CUST00232,37,F,unemployed,71011,High School,17,1,0,13,700,34915,12,Car Loan,No,1,0.99,0,6,0
CUST00233,58,M,employed,32439,Diploma,21,4,1,10,602,91111,36,Business,No,1,0.66,0,9,1
CUST00234,44,F,unemployed,48916,Bachelor,24,1,0,12,770,61225,36,Business,Yes,1,0.39,0,6,0
CUST00235,25,F,unemployed,48495,Diploma,21,1,1,9,606,11418,60,Crypto-Backed,Yes,1,0.33,0,3,0
CUST00236,54,M,self-employed,31167,Bachelor,19,1,1,11,601,41987,48,Personal,No,1,0.79,0,5,1
CUST00237,26,F,employed,54339,High School,11,4,0,12,640,20450,48,Car Loan,No,1,0.47,0,6,0
CUST00238,42,F,employed,50022,Bachelor,8,2,1,13,684,11436,60,Mortgage,Yes,1,0.94,0,6,0
CUST00239,31,F,unemployed,35897,Bachelor,17,2,0,13,557,46721,36,Education,No,1,0.45,0,2,1
CUST00240,68,M,self-employed,42920,High School,5,1,0,6,723,18455,48,Business,Yes,1,0.86,0,6,0
CUST00241,36,M,unemployed,25606,Bachelor,22,1,0,8,669,60475,60,Business,No,1,0.61,0,6,0
CUST00242,53,F,self-employed,26716,Bachelor,18,3,1,10,725,3444,24,Education,No,1,0.75,0,8,0
CUST00243,29,F,employed,39676,Bachelor,19,2,0,11,678,81987,24,Mortgage,No,0,0.32,0,2,0
